ticket_id,ticket_date,site_id,destination,litres,unit_as_logged,mapped_to_scope1,notes
DG-01-03,2026-01-03,dgws,Guangzhou OEM sample shipment,2184,litres,yes,
DG-01-12,2026-01-12,dgws,Shenzhen warehouse run,1716,litres,yes,
DG-01-24,2026-01-24,dgws,Local Dongguan shuttle,1300,litres,yes,
DG-02-03,2026-02-03,dgws,Guangzhou OEM sample shipment,1596,litres,yes,
DG-02-12,2026-02-12,dgws,Shenzhen warehouse run,1254,litres,yes,
DG-02-24,2026-02-24,dgws,Local Dongguan shuttle,950,litres,yes,
DG-03-03,2026-03-03,dgws,Guangzhou OEM sample shipment,2352,litres,yes,
DG-03-12,2026-03-12,dgws,Shenzhen warehouse run,1848,litres,yes,
DG-03-24,2026-03-24,dgws,Local Dongguan shuttle,1400,litres,yes,
DG-04-03,2026-04-03,dgws,Guangzhou OEM sample shipment,2226,litres,yes,
DG-04-12,2026-04-12,dgws,Shenzhen warehouse run,1749,litres,yes,
DG-04-24,2026-04-24,dgws,Local Dongguan shuttle,1325,litres,yes,
DG-05-03,2026-05-03,dgws,Guangzhou OEM sample shipment,2394,litres,yes,
DG-05-12,2026-05-12,dgws,Shenzhen warehouse run,1881,litres,yes,
DG-05-24,2026-05-24,dgws,Local Dongguan shuttle,1425,litres,yes,
DG-06-03,2026-06-03,dgws,Guangzhou OEM sample shipment,2562,litres,yes,
DG-06-12,2026-06-12,dgws,Shenzhen warehouse run,2013,litres,yes,
DG-06-24,2026-06-24,dgws,Local Dongguan shuttle,1525,litres,yes,
DG-07-03,2026-07-03,dgws,Guangzhou OEM sample shipment,2478,litres,yes,
DG-07-12,2026-07-12,dgws,Shenzhen warehouse run,1947,litres,yes,
DG-07-24,2026-07-24,dgws,Local Dongguan shuttle,1475,litres,yes,
DG-08-03,2026-08-03,dgws,Guangzhou OEM sample shipment,2268,litres,yes,
DG-08-12,2026-08-12,dgws,Shenzhen warehouse run,1782,litres,yes,
DG-08-24,2026-08-24,dgws,Local Dongguan shuttle,1350,litres,yes,
DG-08-17,2026-08-17,dgws,Guangzhou OEM sample shipment,95,litres,no,Unit mismatch: mapping expected kg; excluded from Scope 1
