worker_id,course,due_date,completed_at,hours,status
W-1001,800V electrical safety / LOTO,2026-09-01,,4,overdue
W-1001,OEM data / PDPO,2026-12-31,2026-02-03,0.5,complete
W-1002,800V electrical safety / LOTO,2026-09-01,,4,overdue
W-1003,800V electrical safety / LOTO,2026-09-01,,4,overdue
W-1004,800V electrical safety / LOTO,2026-09-01,,4,overdue
W-1005,800V electrical safety / LOTO,2026-09-01,,4,overdue
W-1006,800V electrical safety / LOTO,2026-09-01,,4,overdue
W-1007,800V electrical safety / LOTO,2026-09-01,,4,overdue
W-1008,800V electrical safety / LOTO,2026-09-01,,4,overdue
W-1009,800V electrical safety / LOTO,2026-09-01,,4,overdue
W-1010,800V electrical safety / LOTO,2026-09-01,,4,overdue
W-1011,800V electrical safety / LOTO,2026-09-01,,4,overdue
W-1012,800V electrical safety / LOTO,2026-09-01,2026-05-20,4,complete
W-1013,800V electrical safety / LOTO,2026-09-01,2026-06-21,4,complete
W-1014,800V electrical safety / LOTO,2026-09-01,2026-01-22,4,complete
W-1015,800V electrical safety / LOTO,2026-09-01,2026-02-23,4,complete
W-1016,800V electrical safety / LOTO,2026-09-01,2026-03-24,4,complete
W-1017,800V electrical safety / LOTO,2026-09-01,2026-04-25,4,complete
W-1018,800V electrical safety / LOTO,2026-09-01,2026-05-26,4,complete
W-1019,800V electrical safety / LOTO,2026-09-01,2026-06-27,4,complete
W-1020,800V electrical safety / LOTO,2026-09-01,2026-01-08,4,complete
W-1021,800V electrical safety / LOTO,2026-09-01,2026-02-09,4,complete
W-1022,800V electrical safety / LOTO,2026-09-01,2026-03-10,4,complete
W-1023,800V electrical safety / LOTO,2026-09-01,2026-04-11,4,complete
W-1024,800V electrical safety / LOTO,2026-09-01,2026-05-12,4,complete
W-1025,800V electrical safety / LOTO,2026-09-01,2026-06-13,4,complete
W-1026,800V electrical safety / LOTO,2026-09-01,2026-01-14,4,complete
W-1027,800V electrical safety / LOTO,2026-09-01,2026-02-15,4,complete
W-1028,800V electrical safety / LOTO,2026-09-01,2026-03-16,4,complete
W-1029,800V electrical safety / LOTO,2026-09-01,2026-04-17,4,complete
W-1030,800V electrical safety / LOTO,2026-09-01,2026-05-18,4,complete
W-1031,800V electrical safety / LOTO,2026-09-01,2026-06-19,4,complete
W-1032,800V electrical safety / LOTO,2026-09-01,2026-01-20,4,complete
W-1033,800V electrical safety / LOTO,2026-09-01,2026-02-21,4,complete
W-1034,800V electrical safety / LOTO,2026-09-01,2026-03-22,4,complete
W-1035,800V electrical safety / LOTO,2026-09-01,2026-04-23,4,complete
W-1036,800V electrical safety / LOTO,2026-09-01,2026-05-24,4,complete
W-1037,800V electrical safety / LOTO,2026-09-01,2026-06-25,4,complete
W-1038,800V electrical safety / LOTO,2026-09-01,2026-01-26,4,complete
W-1039,800V electrical safety / LOTO,2026-09-01,2026-02-27,4,complete
W-1040,800V electrical safety / LOTO,2026-09-01,2026-03-08,4,complete
W-1041,800V electrical safety / LOTO,2026-09-01,2026-04-09,4,complete
W-1042,800V electrical safety / LOTO,2026-09-01,2026-05-10,4,complete
W-1043,800V electrical safety / LOTO,2026-09-01,2026-06-11,4,complete
W-1044,800V electrical safety / LOTO,2026-09-01,2026-01-12,4,complete
W-1044,OEM data / PDPO,2026-12-31,,0.5,overdue
W-1045,800V electrical safety / LOTO,2026-09-01,2026-02-13,4,complete
W-1045,OEM data / PDPO,2026-12-31,,0.5,overdue
W-1046,800V electrical safety / LOTO,2026-09-01,2026-03-14,4,complete
W-1046,OEM data / PDPO,2026-12-31,,0.5,overdue
W-1047,800V electrical safety / LOTO,2026-09-01,2026-04-15,4,complete
W-1047,OEM data / PDPO,2026-12-31,,0.5,overdue
W-1048,800V electrical safety / LOTO,2026-09-01,2026-05-16,4,complete
W-1048,OEM data / PDPO,2026-12-31,,0.5,overdue
W-1049,800V electrical safety / LOTO,2026-09-01,2026-06-17,4,complete
W-1049,OEM data / PDPO,2026-12-31,,0.5,overdue
W-1050,800V electrical safety / LOTO,2026-09-01,2026-01-18,4,complete
W-1050,OEM data / PDPO,2026-12-31,,0.5,overdue
W-1051,800V electrical safety / LOTO,2026-09-01,2026-02-19,4,complete
W-1051,OEM data / PDPO,2026-12-31,,0.5,overdue
W-1052,800V electrical safety / LOTO,2026-09-01,2026-03-20,4,complete
W-1052,OEM data / PDPO,2026-12-31,,0.5,overdue
W-1053,800V electrical safety / LOTO,2026-09-01,2026-04-21,4,complete
W-1054,800V electrical safety / LOTO,2026-09-01,2026-05-22,4,complete
W-1055,800V electrical safety / LOTO,2026-09-01,2026-06-23,4,complete
W-1056,800V electrical safety / LOTO,2026-09-01,2026-01-24,4,complete
W-1057,800V electrical safety / LOTO,2026-09-01,2026-02-25,4,complete
W-1058,800V electrical safety / LOTO,2026-09-01,2026-03-26,4,complete
W-1059,800V electrical safety / LOTO,2026-09-01,2026-04-27,4,complete
W-1060,800V electrical safety / LOTO,2026-09-01,2026-05-08,4,complete
W-1061,800V electrical safety / LOTO,2026-09-01,2026-06-09,4,complete
W-1062,800V electrical safety / LOTO,2026-09-01,2026-01-10,4,complete
W-1063,800V electrical safety / LOTO,2026-09-01,2026-02-11,4,complete
W-1064,800V electrical safety / LOTO,2026-09-01,2026-03-12,4,complete
W-1065,800V electrical safety / LOTO,2026-09-01,2026-04-13,4,complete
W-1066,800V electrical safety / LOTO,2026-09-01,2026-05-14,4,complete
W-1067,800V electrical safety / LOTO,2026-09-01,2026-06-15,4,complete
W-1068,800V electrical safety / LOTO,2026-09-01,2026-01-16,4,complete
W-1069,800V electrical safety / LOTO,2026-09-01,2026-02-17,4,complete
W-1070,800V electrical safety / LOTO,2026-09-01,2026-03-18,4,complete
W-1071,800V electrical safety / LOTO,2026-09-01,2026-04-19,4,complete
