worker_id,status,site_id,department,gender,contract_type,hire_date,as_of,note
W-1001,active,dgws,Connector molding & assembly,female,permanent,2017-06-03,2026-08-31,
W-1002,active,dgws,Connector molding & assembly,female,permanent,2018-07-04,2026-08-31,
W-1003,active,dgws,Connector molding & assembly,female,permanent,2019-08-05,2026-08-31,
W-1004,active,dgws,Connector molding & assembly,female,permanent,2020-09-06,2026-08-31,
W-1005,active,dgws,Connector molding & assembly,female,permanent,2021-10-07,2026-08-31,
W-1006,active,dgws,Connector molding & assembly,female,permanent,2022-11-08,2026-08-31,
W-1007,active,dgws,Connector molding & assembly,female,permanent,2023-12-09,2026-08-31,
W-1008,active,dgws,Connector molding & assembly,female,permanent,2024-01-10,2026-08-31,
W-1009,active,dgws,Connector molding & assembly,female,permanent,2025-02-11,2026-08-31,
W-1010,active,dgws,Connector molding & assembly,female,permanent,2016-03-12,2026-08-31,
W-1011,active,dgws,Connector molding & assembly,female,permanent,2017-04-13,2026-08-31,
W-1012,active,dgws,Connector molding & assembly,female,permanent,2018-05-14,2026-08-31,
W-1013,active,dgws,Connector molding & assembly,male,contract,2024-01-09,2026-08-31,OPEN contractor record — not closed after conversion
W-1013,active,dgws,Connector molding & assembly,male,permanent,2026-08-04,2026-08-31,Permanent conversion 4 Aug 2026 — unique headcount uses one ID
W-1014,active,dgws,Connector molding & assembly,male,permanent,2020-07-16,2026-08-31,
W-1015,active,dgws,Connector molding & assembly,male,permanent,2021-08-17,2026-08-31,
W-1016,active,dgws,Connector molding & assembly,male,permanent,2022-09-18,2026-08-31,
W-1017,active,dgws,Connector molding & assembly,male,permanent,2023-10-19,2026-08-31,
W-1018,active,dgws,Connector molding & assembly,male,permanent,2024-11-20,2026-08-31,
W-1019,active,dgws,Connector molding & assembly,male,permanent,2025-12-21,2026-08-31,
W-1020,active,dgws,Connector molding & assembly,male,permanent,2016-01-22,2026-08-31,
W-1021,active,dgws,Connector molding & assembly,male,permanent,2017-02-23,2026-08-31,
W-1022,active,dgws,Connector molding & assembly,male,permanent,2018-03-24,2026-08-31,
W-1023,active,dgws,Connector molding & assembly,male,permanent,2019-04-25,2026-08-31,
W-1024,active,dgws,Connector molding & assembly,male,permanent,2020-05-26,2026-08-31,
W-1025,active,dgws,Connector molding & assembly,male,permanent,2021-06-27,2026-08-31,
W-1026,active,dgws,Connector molding & assembly,male,permanent,2022-07-01,2026-08-31,
W-1027,active,dgws,Connector molding & assembly,male,permanent,2023-08-02,2026-08-31,
W-1028,active,dgws,Connector molding & assembly,male,permanent,2024-09-03,2026-08-31,
W-1029,active,dgws,Connector molding & assembly,male,permanent,2025-10-04,2026-08-31,
W-1030,active,dgws,Connector molding & assembly,male,permanent,2016-11-05,2026-08-31,
W-1031,active,dgws,Connector molding & assembly,male,permanent,2017-12-06,2026-08-31,
W-1032,active,dgws,Connector molding & assembly,male,permanent,2018-01-07,2026-08-31,
W-1033,active,dgws,Connector molding & assembly,male,permanent,2019-02-08,2026-08-31,
W-1034,active,dgws,Connector molding & assembly,male,permanent,2020-03-09,2026-08-31,
W-1035,active,dgws,Connector molding & assembly,male,permanent,2021-04-10,2026-08-31,
W-1036,active,dgws,Connector molding & assembly,male,permanent,2022-05-11,2026-08-31,
W-1037,active,dgws,Connector molding & assembly,male,permanent,2023-06-12,2026-08-31,
